rung,Cre,Cim,Cabs
1,-0.00012578878040532911,0.0,0.00012578878040532911
2,0.011081178019706095,0.0,0.011081178019706095
3,-0.009150455332369451,0.0,0.009150455332369451
4,0.006078651756627093,0.0,0.006078651756627093
5,-0.0029758985750773697,0.0,0.0029758985750773697
6,0.0011270051412413304,0.0,0.0011270051412413304
7,-0.00034728950963676066,0.0,0.00034728950963676066
8,6.72149434127144e-5,0.0,6.72149434127144e-5
9,-6.5460521639110205e-6,0.0,6.5460521639110205e-6
10,-3.1867192344654024e-5,0.0,3.1867192344654024e-5
11,3.67375973690966e-5,0.0,3.67375973690966e-5
12,-5.1401837807253245e-5,0.0,5.1401837807253245e-5
13,7.20867286454154e-5,0.0,7.20867286454154e-5
14,-4.8776464669593495e-5,0.0,4.8776464669593495e-5
15,6.479658491048721e-5,0.0,6.479658491048721e-5
16,-2.5697257047957844e-5,0.0,2.5697257047957844e-5
17,6.544200124063215e-5,0.0,6.544200124063215e-5
18,-1.8930794048695116e-5,0.0,1.8930794048695116e-5
19,5.888284827241513e-5,0.0,5.888284827241513e-5
20,-1.84803355368807e-5,0.0,1.84803355368807e-5
21,7.149426619178903e-5,0.0,7.149426619178903e-5
22,-1.2461608594792788e-5,0.0,1.2461608594792788e-5
23,6.117609580593118e-5,0.0,6.117609580593118e-5
24,-5.292037377762732e-6,0.0,5.292037377762732e-6
25,6.137898739905714e-5,0.0,6.137898739905714e-5
26,1.8464412121413664e-6,0.0,1.8464412121413664e-6
27,4.86710548810904e-5,0.0,4.86710548810904e-5
28,8.375973160403124e-6,0.0,8.375973160403124e-6
29,5.881831010836314e-5,0.0,5.881831010836314e-5
30,9.626829299342745e-6,0.0,9.626829299342745e-6
31,5.6145114260518085e-5,0.0,5.6145114260518085e-5
32,1.0232554533578015e-5,0.0,1.0232554533578015e-5
33,4.465192952664677e-5,0.0,4.465192952664677e-5
34,2.7876352972816606e-5,0.0,2.7876352972816606e-5
35,4.337307766663035e-5,0.0,4.337307766663035e-5
36,2.0094173244598237e-5,0.0,2.0094173244598237e-5
37,5.860140372810842e-5,0.0,5.860140372810842e-5
38,1.9077408609029418e-5,0.0,1.9077408609029418e-5
39,4.872932627375857e-5,0.0,4.872932627375857e-5
40,2.05787267918466e-5,0.0,2.05787267918466e-5
41,4.806756039129553e-5,0.0,4.806756039129553e-5
42,2.0846473772601534e-5,0.0,2.0846473772601534e-5
43,6.130011945087107e-5,0.0,6.130011945087107e-5
44,2.6181243421204982e-5,0.0,2.6181243421204982e-5
45,5.0845054073561586e-5,0.0,5.0845054073561586e-5
46,1.721808935843231e-5,0.0,1.721808935843231e-5
47,5.0302609432552025e-5,0.0,5.0302609432552025e-5
48,9.640216403348304e-6,0.0,9.640216403348304e-6
49,4.793537378567381e-5,0.0,4.793537378567381e-5
50,4.293121675199658e-5,0.0,4.293121675199658e-5
51,5.768300629383942e-5,0.0,5.768300629383942e-5
52,5.912369175587879e-5,0.0,5.912369175587879e-5
53,4.0435517937729816e-5,0.0,4.0435517937729816e-5
54,3.633345168723697e-5,0.0,3.633345168723697e-5
55,3.704785646052238e-5,0.0,3.704785646052238e-5
56,1.9508876389577872e-5,0.0,1.9508876389577872e-5
57,2.990591913728419e-5,0.0,2.990591913728419e-5
58,1.8270881975398703e-5,0.0,1.8270881975398703e-5
59,2.4804070098445008e-5,0.0,2.4804070098445008e-5
60,1.0087738786800713e-5,0.0,1.0087738786800713e-5
61,1.8800203444213878e-5,0.0,1.8800203444213878e-5
62,1.2451351605100278e-5,0.0,1.2451351605100278e-5
63,8.138552889209105e-6,0.0,8.138552889209105e-6
64,3.709439785091566e-6,0.0,3.709439785091566e-6
65,5.8372491151272855e-6,0.0,5.8372491151272855e-6
66,3.7030316161319807e-6,0.0,3.7030316161319807e-6
67,4.268696859252513e-6,0.0,4.268696859252513e-6
68,2.476538682449563e-6,0.0,2.476538682449563e-6
69,4.745210222926589e-6,0.0,4.745210222926589e-6
70,1.1723234611223792e-6,0.0,1.1723234611223792e-6
71,3.598949105267157e-6,0.0,3.598949105267157e-6
72,5.767559831032708e-7,0.0,5.767559831032708e-7
73,1.5187396196782792e-6,0.0,1.5187396196782792e-6
74,-4.1948866495806613e-7,0.0,4.1948866495806613e-7
75,2.317426775364484e-6,0.0,2.317426775364484e-6
76,-4.782171253663284e-7,0.0,4.782171253663284e-7
77,2.2420851230898105e-6,0.0,2.2420851230898105e-6
78,-1.1535366841472742e-6,0.0,1.1535366841472742e-6
79,3.1795570429010942e-6,0.0,3.1795570429010942e-6
80,-1.587642105448839e-6,0.0,1.587642105448839e-6
81,1.8326618719846084e-6,0.0,1.8326618719846084e-6
82,-7.629943153727877e-8,0.0,7.629943153727877e-8
83,1.1555034559162998e-6,0.0,1.1555034559162998e-6
84,4.4560812606977647e-8,0.0,4.4560812606977647e-8
85,1.247600276181564e-6,0.0,1.247600276181564e-6
86,-2.2154319293523464e-7,0.0,2.2154319293523464e-7
87,8.980486697621083e-7,0.0,8.980486697621083e-7
88,8.893992959751003e-8,0.0,8.893992959751003e-8
89,2.055433066557974e-9,0.0,2.055433066557974e-9
90,1.1908380427996286e-6,0.0,1.1908380427996286e-6
91,-3.4666888983383206e-7,0.0,3.4666888983383206e-7
92,1.0030865436777602e-6,0.0,1.0030865436777602e-6
93,-5.656682508245797e-8,0.0,5.656682508245797e-8
94,7.144131357668246e-7,0.0,7.144131357668246e-7
95,3.8695409686231346e-7,0.0,3.8695409686231346e-7
96,2.844960592664079e-7,0.0,2.844960592664079e-7
97,4.5069569753353413e-7,0.0,4.5069569753353413e-7
98,6.450913025495705e-7,0.0,6.450913025495705e-7
99,2.3250115961697233e-7,0.0,2.3250115961697233e-7
100,1.9009994452491304e-7,0.0,1.9009994452491304e-7
101,3.4564059027085915e-7,0.0,3.4564059027085915e-7
102,1.0054327836714989e-6,0.0,1.0054327836714989e-6
103,-4.610862445610596e-7,0.0,4.610862445610596e-7
104,9.662415360294806e-7,0.0,9.662415360294806e-7
105,-2.94232534759558e-7,0.0,2.94232534759558e-7
106,7.440382800208708e-7,0.0,7.440382800208708e-7
107,-7.426881444392835e-8,0.0,7.426881444392835e-8
108,8.277656065040977e-7,0.0,8.277656065040977e-7
109,-1.7398516617101566e-7,0.0,1.7398516617101566e-7
110,6.873145250566068e-7,0.0,6.873145250566068e-7
111,2.9202713288074663e-7,0.0,2.9202713288074663e-7
112,-1.3228700808357282e-7,0.0,1.3228700808357282e-7
113,1.2185174680961595e-6,0.0,1.2185174680961595e-6
114,-8.72747500545264e-7,0.0,8.72747500545264e-7
115,1.906492269849531e-6,0.0,1.906492269849531e-6
116,-2.0327312141968966e-6,0.0,2.0327312141968966e-6
117,2.6017453989293456e-6,0.0,2.6017453989293456e-6
