rung,Cre,Cim,Cabs
1,1.006518006324768,1.58495332414077e-8,1.0065180063247683
2,0.12140923738479614,-3.3340782579216466e-8,0.12140923738480072
3,0.14063532650470734,-5.48295879809757e-8,0.14063532650471802
4,0.12943963706493378,-4.2291944168937334e-8,0.1294396370649407
5,0.12164388597011566,-1.0121239313320984e-7,0.12164388597015777
6,0.1144195944070816,-6.0732352480386e-10,0.1144195944070816
7,0.10305473208427429,-2.0785201115813834e-8,0.10305473208427639
8,0.08601557463407516,-1.4592935748680702e-8,0.0860155746340764
9,0.06456442922353745,-7.099340848526481e-8,0.06456442922357647
10,0.02213517390191555,-1.3367056794777454e-8,0.022135173901919585
